Year(s) of Live Birth,Maternal Window,Data Source,Risk Factor Type,Risk Factor,Risk Factor Strata,Live Births (N),Live Births (%),Any Sepsis Incidence (N),"Any Sepsis Incidence per 100,000 Live Births",Any Sepsis Crude Odds Ratio (95% CI),Any Sepsis p-value,Severe Sepsis Incidence (N),"Severe Sepsis Incidence per 100,000 Live Births",Severe Sepsis Crude Odds Ratio (95% CI),Severe Sepsis p-value
2016-2018,Postpartum,SPARCS & Birth certificate,Demographics,Race/Ethnicity,"Native American/Alaska Native, Non-Hispanic",1733,0.27,1,57.7,0.64 (0.09-4.53),0.6504,0,0,<0.001 (<0.001->999.99),0.9805
2016-2018,Postpartum,SPARCS & Birth certificate,Demographics,Race/Ethnicity,"Asian/Pacific Islander, Non-Hispanic",76157,11.9,102,133.93,1.47 (1.18-1.85),0.0008,22,28.89,2.66 (1.55-4.54),0.0004
2016-2018,Postpartum,SPARCS & Birth certificate,Demographics,Race/Ethnicity,"Other, Non-Hispanic",7870,1.23,7,88.95,0.98 (0.46-2.07),0.9557,1,12.71,1.17 (0.16-8.53),0.8782
2016-2018,Postpartum,SPARCS & Birth certificate,Demographics,Race/Ethnicity,"Multi-Racial, Non-Hispanic",3503,0.55,3,85.64,0.94 (0.30-2.94),0.9188,1,28.55,2.62 (0.36-19.18),0.3416
2016-2018,Postpartum,SPARCS,Demographics,Region of Residence,Central,28689,4.48,37,128.97,1.18 (0.84-1.66),0.3347,8,27.89,1.64 (0.78-3.45),0.1927
2016-2018,Postpartum,SPARCS,Demographics,Region of Residence,Finger Lakes,26976,4.21,38,140.87,1.29 (0.92-1.81),0.1356,5,18.53,1.09 (0.44-2.73),0.8547
2016-2018,Postpartum,SPARCS,Demographics,Region of Residence,Long Island,89369,13.96,112,125.32,1.15 (0.93-1.42),0.2043,16,17.9,1.05 (0.60-1.84),0.8582
2016-2018,Postpartum,SPARCS,Demographics,Region of Residence,Mid-Hudson,25890,4.05,38,146.77,1.35 (0.96-1.88),0.0831,5,19.31,1.14 (0.45-2.84),0.7864
2016-2018,Postpartum,SPARCS,Demographics,Region of Residence,New York City,311517,48.67,340,109.14,ref,,53,17.01,ref,
2016-2018,Postpartum,SPARCS,Demographics,Region of Residence,Northeast,29916,4.67,25,83.57,0.77 (0.51-1.15),0.1973,5,16.71,0.98 (0.39-2.46),0.9697
2016-2018,Postpartum,SPARCS,Demographics,Region of Residence,Northern Metro,40880,6.39,57,139.43,1.28 (0.97-1.69),0.0869,5,12.23,0.72 (0.29-1.80),0.4805
2016-2018,Postpartum,SPARCS,Demographics,Region of Residence,Utica-Adirondack,25309,3.95,34,134.34,1.23 (0.87-1.75),0.2479,5,19.76,1.16 (0.46-2.91),0.7494
2016-2018,Postpartum,SPARCS,Demographics,Region of Residence,Western,60572,9.46,74,122.17,1.12 (0.87-1.44),0.3792,17,28.07,1.65 (0.96-2.85),0.0725
2016-2018,Postpartum,SPARCS,Demographics,Region of Residence,No NYS County,905,0.14,3,331.49,3.04 (0.98-9.50),0.0552,2,220.99,13.02 (3.17-53.50),0.0004
2016-2018,Postpartum,SPARCS,Obstetric,Acute renal failure,No,639515,99.92,749,117.12,ref,,116,18.14,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Acute renal failure,Yes,508,0.08,9,1771.65,15.38 (7.93-29.85),<.0001,5,984.25,54.79 (22.29-134.7),<.0001
2016-2018,Postpartum,Birth certificate,Obstetric,3rd or 4th degree tears,No,608317,98.25,745,122.47,ref,,119,19.56,ref,
2016-2018,Postpartum,Birth certificate,Obstetric,3rd or 4th degree tears,Yes,10825,1.75,12,110.85,0.91 (0.51-1.60),0.7319,2,18.48,0.95 (0.23-3.82),0.9378
2016-2018,Postpartum,SPARCS & Birth certificate,Obstetric,ART,No,608603,98.3,742,121.92,ref,,117,19.22,ref,
2016-2018,Postpartum,SPARCS & Birth certificate,Obstetric,ART,Yes,10539,1.7,15,142.33,1.17 (0.70-1.95),0.5524,4,37.95,1.98 (0.73-5.35),0.1804
2016-2018,Postpartum,SPARCS,Obstetric,Abnormal placentation,No,639043,99.85,748,117.05,ref,,119,18.62,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Abnormal placentation,Yes,980,0.15,10,1020.41,8.80 (4.70-16.47),<.0001,2,204.08,10.98 (2.71-44.48),0.0008
2016-2018,Postpartum,SPARCS,Obstetric,Acute myocardial infarction,No,640005,100,757,118.28,ref,,120,18.75,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Acute myocardial infarction,Yes,18,0,1,5555.56,49.76 (6.63-373.8),0.0001,1,5555.56,314.3 (41.56->999.99),<.0001
2016-2018,Postpartum,SPARCS,Obstetric,Adult respiratory distress syndrome,No,639670,99.94,752,117.56,ref,,119,18.6,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Adult respiratory distress syndrome,Yes,353,0.06,6,1699.72,14.69 (6.53-33.03),<.0001,2,566.57,30.62 (7.54-124.4),<.0001
2016-2018,Postpartum,SPARCS,Obstetric,Air and thrombotic embolism,No,639891,99.98,757,118.3,ref,,121,18.91,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Air and thrombotic embolism,Yes,132,0.02,1,757.58,6.45 (0.90-46.16),0.0636,0,0,<0.001 (<0.001->999.99),0.9815
2016-2018,Postpartum,SPARCS,Obstetric,Amniotic fluid embolism,No,640001,100,758,118.44,ref,,121,18.91,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Amniotic fluid embolism,Yes,22,0,0,0,<0.001 (<0.001->999.99),0.9728,0,0,0.00 (<0.001->999.99),0.9846
2016-2018,Postpartum,SPARCS,Obstetric,Aneurysm,No,640022,100,758,118.43,ref,,121,18.91,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Aneurysm,Yes,1,0,0,0,0.02 (<0.001->999.99),0.9851,0,0,0.05 (<0.001->999.99),0.9927
2016-2018,Postpartum,SPARCS,Obstetric,Blood products transfusion,No,627984,98.12,699,111.31,ref,,110,17.52,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Blood products transfusion,Yes,12039,1.88,59,490.07,4.42 (3.39-5.77),<.0001,11,91.37,5.22 (2.81-9.70),<.0001
2016-2018,Postpartum,SPARCS,Obstetric,Cardiac arrest/ventricular fibrillation,No,639984,99.99,758,118.44,ref,,121,18.91,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Cardiac arrest/ventricular fibrillation,Yes,39,0.01,0,0,<0.001 (<0.001->999.99),0.9638,0,0,<0.001 (<0.001->999.99),0.9855
2016-2018,Postpartum,SPARCS & Birth certificate,Obstetric,Cerclage (rescue>prophylactic),No,616405,99.56,752,122,ref,,121,19.63,ref,
2016-2018,Postpartum,SPARCS & Birth certificate,Obstetric,Cerclage (rescue>prophylactic),Yes,2737,0.44,5,182.68,1.50 (0.62-3.61),0.3679,0,0,<0.001 (<0.001->999.99),0.9738
2016-2018,Postpartum,SPARCS & Birth certificate,Obstetric,Cesarean Delivery,No,409636,66.16,348,84.95,ref,,69,16.84,ref,
2016-2018,Postpartum,SPARCS & Birth certificate,Obstetric,Cesarean Delivery,Yes,209421,33.82,409,195.3,2.30 (1.99-2.66),<.0001,52,24.83,1.47 (1.03-2.11),0.0346
2016-2018,Postpartum,SPARCS & Birth certificate,Obstetric,Cesarean Delivery,Unknown,85,0.01,0,0,<0.001 (<0.001->999.99),0.9640,0,0,<0.001 (<0.001->999.99),0.9852
2016-2018,Postpartum,SPARCS,Obstetric,Conversion of cardiac rhythm,No,639960,99.99,757,118.29,ref,,120,18.75,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Conversion of cardiac rhythm,Yes,63,0.01,1,1587.3,13.62 (1.89-98.34),0.0096,1,1587.3,86.00 (11.83-625.2),<.0001
2016-2018,Postpartum,SPARCS,Obstetric,Disseminated intravascular coagulation,No,638927,99.83,754,118.01,ref,,119,18.62,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Disseminated intravascular coagulation,Yes,1096,0.17,4,364.96,3.10 (1.16-8.30),0.0242,2,182.48,9.83 (2.43-39.77),0.0013
2016-2018,Postpartum,SPARCS,Obstetric,Eclampsia,No,639856,99.97,758,118.46,ref,,121,18.91,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Eclampsia,Yes,167,0.03,0,0,<0.001 (<0.001->999.99),0.9645,0,0,<0.001 (<0.001->999.99),0.9792
2016-2018,Postpartum,SPARCS & Birth certificate,Obstetric,Episiotomy,No,566022,91.42,706,124.73,ref,,113,19.96,ref,
2016-2018,Postpartum,SPARCS & Birth certificate,Obstetric,Episiotomy,Yes,53120,8.58,51,96.01,0.77 (0.58-1.02),0.0713,8,15.06,0.75 (0.37-1.55),0.4417
2016-2018,Postpartum,SPARCS,Obstetric,Heart failure/arrest during surgery or procedure,No,640012,100,758,118.44,ref,,121,18.91,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Heart failure/arrest during surgery or procedure,Yes,11,0,0,0,0.00 (<0.001->999.99),0.9728,0,0,0.00 (<0.001->999.99),0.9891
2016-2018,Postpartum,SPARCS,Obstetric,Hysterectomy,No,639324,99.89,745,116.53,ref,,120,18.77,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Hysterectomy,Yes,699,0.11,13,1859.8,16.24 (9.34-28.25),<.0001,1,143.06,7.63 (1.06-54.70),0.0431
2016-2018,Postpartum,Birth certificate,Obstetric,Induction of Labor,No,375222,60.6,432,115.13,ref,,62,16.52,ref,
2016-2018,Postpartum,Birth certificate,Obstetric,Induction of Labor,Yes,243920,39.4,325,133.24,1.16 (1.00-1.34),0.0465,59,24.19,1.46 (1.03-2.09),0.0360
2016-2018,Postpartum,SPARCS & Birth certificate,Obstetric,Multiple Gestation,No,608139,98.22,728,119.71,ref,,116,19.07,ref,
2016-2018,Postpartum,SPARCS & Birth certificate,Obstetric,Multiple Gestation,Yes,11002,1.78,29,263.59,2.21 (1.52-3.20),<.0001,5,45.45,2.38 (0.97-5.83),0.0573
2016-2018,Postpartum,SPARCS & Birth certificate,Obstetric,Multiple Gestation,Unknown,1,0,0,0,0.02 (<0.001->999.99),0.9850,0,0,0.02 (<0.001->999.99),0.9940
2016-2018,Postpartum,Birth certificate,Obstetric,Nulliparity,No,428646,69.23,488,113.85,ref,,81,18.9,ref,
2016-2018,Postpartum,Birth certificate,Obstetric,Nulliparity,Yes,188819,30.5,268,141.93,1.25 (1.07-1.45),0.0037,40,21.18,1.12 (0.77-1.64),0.5543
2016-2018,Postpartum,Birth certificate,Obstetric,Nulliparity,Unknown,1677,0.27,1,59.63,0.52 (0.07-3.73),0.5181,0,0,<0.001 (<0.001->999.99),0.9795
2016-2018,Postpartum,SPARCS,Obstetric,Obstetric Trauma,No,609150,95.18,718,117.87,ref,,117,19.21,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Obstetric Trauma,Yes,30873,4.82,40,129.56,1.10 (0.80-1.51),0.5601,4,12.96,0.67 (0.25-1.83),0.4387
2016-2018,Postpartum,SPARCS & Birth certificate,Obstetric,Operative Vaginal Delivery,No,598312,96.64,725,121.17,ref,,112,18.72,ref,
2016-2018,Postpartum,SPARCS & Birth certificate,Obstetric,Operative Vaginal Delivery,Yes,19910,3.22,32,160.72,1.33 (0.93-1.89),0.1177,9,45.2,2.42 (1.22-4.76),0.0109
2016-2018,Postpartum,SPARCS & Birth certificate,Obstetric,Operative Vaginal Delivery,Unknown,920,0.15,0,0,<0.001 (<0.001->999.99),0.9431,0,0,<0.001 (<0.001->999.99),0.9773
2016-2018,Postpartum,SPARCS,Obstetric,Postpartum hemorrhage,No,614386,95.99,698,113.61,ref,,112,18.23,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Postpartum hemorrhage,Yes,25637,4.01,60,234.04,2.06 (1.59-2.69),<.0001,9,35.11,1.93 (0.98-3.80),0.0584
2016-2018,Postpartum,SPARCS,Obstetric,Premature rupture of membranes,No,568177,88.77,642,112.99,ref,,108,19.01,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Premature rupture of membranes,Yes,71846,11.23,116,161.46,1.43 (1.17-1.74),0.0004,13,18.09,0.95 (0.54-1.69),0.8667
2016-2018,Postpartum,SPARCS,Obstetric,Preterm Delivery,No,612193,95.65,711,116.14,ref,,116,18.95,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Preterm Delivery,Yes,27830,4.35,47,168.88,1.45 (1.08-1.95),0.0129,5,17.97,0.95 (0.39-2.32),0.9094
2016-2018,Postpartum,SPARCS,Obstetric,Prolonged labor,No,638292,99.73,753,117.97,ref,,120,18.8,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Prolonged labor,Yes,1731,0.27,5,288.85,2.45 (1.02-5.92),0.0459,1,57.77,3.07 (0.43-22.01),0.2634
2016-2018,Postpartum,SPARCS,Obstetric,Puerperal cerebrovascular disorders,No,639980,99.99,757,118.28,ref,,121,18.91,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Puerperal cerebrovascular disorders,Yes,43,0.01,1,2325.58,20.11 (2.76-146.3),0.0030,0,0,<0.001 (<0.001->999.99),0.9848
2016-2018,Postpartum,SPARCS,Obstetric,Pulmonary edema / Acute heart failure,No,639833,99.97,754,117.84,ref,,120,18.75,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Pulmonary edema / Acute heart failure,Yes,190,0.03,4,2105.26,18.24 (6.76-49.22),<.0001,1,526.32,28.21 (3.92-202.9),0.0009
2016-2018,Postpartum,SPARCS,Obstetric,Retained Products of Conception,No,639065,99.85,758,118.61,ref,,121,18.93,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Retained Products of Conception,Yes,958,0.15,0,0,<0.001 (<0.001->999.99),0.9428,0,0,<0.001 (<0.001->999.99),0.9771
2016-2018,Postpartum,Birth certificate,Obstetric,Trimester Beginning Prenatal Care,1st,462321,72.24,551,119.18,ref,,85,18.39,ref,
2016-2018,Postpartum,Birth certificate,Obstetric,Trimester Beginning Prenatal Care,2nd,106210,16.59,141,132.76,1.11 (0.93-1.34),0.2528,28,26.36,1.43 (0.94-2.20),0.0981
2016-2018,Postpartum,Birth certificate,Obstetric,Trimester Beginning Prenatal Care,3rd,29882,4.67,29,97.05,0.81 (0.56-1.18),0.2806,5,16.73,0.91 (0.37-2.24),0.8378
2016-2018,Postpartum,Birth certificate,Obstetric,Trimester Beginning Prenatal Care,Unknown,20729,3.24,36,173.67,1.46 (1.04-2.04),0.0285,3,14.47,0.79 (0.25-2.49),0.6837
2016-2018,Postpartum,SPARCS,Obstetric,Severe anesthesia complications,No,639986,99.99,758,118.44,ref,,121,18.91,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Severe anesthesia complications,Yes,37,0.01,0,0,<0.001 (<0.001->999.99),0.9647,0,0,<0.001 (<0.001->999.99),0.9859
2016-2018,Postpartum,SPARCS,Obstetric,Shock,No,639632,99.94,752,117.57,ref,,118,18.45,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Shock,Yes,391,0.06,6,1534.53,13.24 (5.89-29.75),<.0001,3,767.26,41.91 (13.27-132.4),<.0001
2016-2018,Postpartum,SPARCS,Obstetric,Sickle cell disease with crisis,No,640008,100,758,118.44,ref,,121,18.91,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Sickle cell disease with crisis,Yes,15,0,0,0,0.00 (<0.001->999.99),0.9682,0,0,0.00 (<0.001->999.99),0.9873
2016-2018,Postpartum,SPARCS,Obstetric,Stillbirth,No,639508,99.92,757,118.37,ref,,121,18.92,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Stillbirth,Yes,515,0.08,1,194.17,1.64 (0.23-11.69),0.6206,0,0,<0.001 (<0.001->999.99),0.9832
2016-2018,Postpartum,SPARCS,Obstetric,Temporary tracheostomy,No,639667,99.94,748,116.94,ref,,114,17.82,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Temporary tracheostomy,Yes,356,0.06,10,2808.99,24.69 (13.11-46.49),<.0001,7,1966.29,112.5 (52.08-243.1),<.0001
2016-2018,Postpartum,Birth certificate,Obstetric,Uterine rupture,No,618947,99.97,756,122.14,ref,,121,19.55,ref,
2016-2018,Postpartum,Birth certificate,Obstetric,Uterine rupture,Yes,195,0.03,1,512.82,4.22 (0.59-30.11),0.1513,0,0,<0.001 (<0.001->999.99),0.9844
2016-2018,Postpartum,SPARCS,Obstetric,Ventilation,No,639668,99.94,748,116.94,ref,,114,17.82,ref,
2016-2018,Postpartum,SPARCS,Obstetric,Ventilation,Yes,355,0.06,10,2816.9,24.76 (13.15-46.62),<.0001,7,1971.83,112.9 (52.23-243.8),<.0001
